en,kha,translated_en_to_kha
a,a,a
I,nga,Nga
I,nga,Nga
I,ma nga,Nga
oh,a,oh
ah,a,ah
do,leh,leh
be,ialong,long
he,i,u
in,hapoh,hapoh
on,halor,ha
on,hajrong ha,ha
by,hajan,da
as,ha syndah,kum
CD,CD,CD
on,ha,ha
to,ha,ban
in,ha,hapoh
at,ha,ha
no,em,em
so,eh,kumta
is,don,ka long
em,doh blang,em
ox,masi dap,ox
be,long,long
my,jong nga,jong nga
is,dei,ka long
or,lane,lane
is,long,ka long
up,la dap,shaneng
hr,kynta,hr
so,kumta,kumta
as,kumba,kum
as,kum,kum
km,kilometre,km
he,ma i,u
as,kum,kum
we,ma ngi,ngi
he,ma u,u
go,khie leit,leit
go,khie,leit
at,ha,ha
so,katta katta,kumta
as,kat,kum
ay,man ka por,ay
it,ka,ka
of,jong,jong
by,da,da
go,leit,leit
we,ngi,ngi
to,ban,ban
of,na,jong
ah,ak,ah
wet,bajhieh,sngem
ten,khat,shiphew
add,kheinlang,pyndap
wet,baiong,sngem
pot,khiew,pot
pan,khiew,pan
dry,batyrkhong,ba rkhiang
ask,kylli,kylli
low,badem,ba duna
and,bad,bad
fat,khlein,ka shini
dim,babyrngut,dim
eye,khmat,khmat
Sir,babu,Sir
see,khmih,peit
pot,khra,pot
tax,khajna,khajna
big,baheh,heh
oft,khah khah,bun
lay,kha,thiah
our,jong ngi,jong ngi
his,jong u,jong u
win,jop,jop
bar,jaka die kyiad,bar
bed,jynthiah,thiah
she,ka,ma ka
end,bakut,kut
ass,kada,as
ban,khang,ban
car,kali,kali
bag,pla,pla
act,kam,leh
ard,bakhluit,ars
bad,basniew,ba sniew
any,kano kano,kano kano
hot,bakhluit,ba shit
the,katai,ka
far,bajngai,jngai
one,kawei,kawei
art,jingdro,art
pen,khulom,pen
son,khun,khun
arm,ksan 'ti,kti
two,ar,ar
hum,kynup,hum
her,la,jong ka
his,la,jong u
air,lyer,lyer
aim,thew,thmu
aid,jingiarap,iarap
way,lad,lynti
all,baroh,baroh
can,lah,lah
may,lah,lah
ago,mynshuwa,mynshuwa
lie,lamler,thiah
let,ai,to
ewe,langbrot,lang
top,latom,ba shalor
age,rta,ka rta
hip,lbong,hip
law,ain,ain
mad,balamwir,mad
ask,kylli,kylli
how,kumno,kumno
cup,khuri,khuri
few,khyndiat,khyndiat
boy,khynnah,khynnah
lad,khynnah,lad
eye,kh~imat,khmat
see,kh~imih,peit
fat,babha met,ka shini
leg,kjat,kjat
saw,kurat,iohi
top,kliar,ba shalor
any,kano kano,kano kano
dog,ksew,kulai
mud,ktieh,mud
twp,baanna,twp
cut,kum ot,ot
big,ba khraw,heh
and,bad,bad
now,kumne kumne,mynta
oma,kmierad,Oma
his,jong i,jong u
her,jong i,jong ka
wud,balamwir,wud
leg,dkhot met,kjat
bad,basniew,ba sniew
gum,dohbniat,gum
ash,dpei,ash
nyc,basngewtynnad,nyc
lay,don,thiah
sea,duriaw,duriaw
sad,basngewsih,sngewsih
owl,dkhoh,owl
who,eiba,uba
sly,basianti,ba sniew
dry,bashrah,ba rkhiang
ard,bashit,ars
hot,bashit,ba shit
red,basaw,rong
cat,miaw,masi
ago,ha khmat,mynshuwa
ago,ha shuwa,mynshuwa
fat,basngaid,ka shini
old,basan,barim
ant,dkhiew,ant
two,ar,ar
end,bawai,kut
Day,Sngi,sngi
sow,bet,thiah
re-,biang biang,biang
nix,bidong,nix
god,blei,blei
God,blei,U Blei
sky,bneng,bneng
rod,dieng tylli,rod
wit,bor sngewthuh,wit
put,buh,buh
set,buh,set
oft,bun teng,bun
oft,bunsien,bun
day,Sngi,sngi
bed,bathiah,thiah
and,de,bad
dad,pa,kpa
man,briew,briew
eft,hadien habud,eft
dry,barkhiang,ba rkhiang
old,barim,barim
use,jingdonkam,pyndonkam
bin,jaka bret nuit,bin
bet,jingiathong,bet
big,heh,heh
bid,ka jingtyrwa,bid
sum,jingkhein,sum
why,balei,balei
joy,jingkmen,jingkmen
fun,jingbiria,sngewbha
act,jingleh,leh
aid,jingmanbha,iarap
fun,jingsngewbrai,sngewbha
tie,jingteh,tied
bed,ka jingthiah,thiah
shy,balehrain,ba sngewrit
toy,jingïalehkai,ialehkai
bay,Na kyndong duriaw,bay
far,jngai,jngai
bet,thong,bet
bit,khyndiat,bit
eat,bam,bam
rag,jainjot,rag
old,barangbah,barim
car,kali,kali
low,bapoh,ba duna
cap,"Tapmoh khlieh, tupia",cap
boy,hep,khynnah
fly,her,her
six,hnriw,hynriew
yes,hooid,hooid
but,hynrei,hynrei
six,hynriew,hynriew
